Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
The Cardigans,Lovefool,First Band On The Moon,2023-12-05 10:10:21,3,L,Lovefool,1996
The Chantels,Maybe,We Are The Chantels,2023-12-05 10:13:41,2,M,Maybe,1958
Fontella Bass,Rescue Me,The New Look,2023-12-05 10:16:25,4,R,Rescue,1987
Pink,Get The Party Started,Missundaztood,2023-12-05 10:20:37,3,G,Get,2002
Celine Dion,The Power Of Love,The Colour Of My Love,2023-12-05 10:23:46,5,T,The,1994
Julie Gold,From A Distance,If I Sing,2023-12-05 10:29:28,4,F,From,1998
Mavis Staples,Change,We Get By,2023-12-05 10:33:35,4,C,Change,1970
Julee Cruise,Falling,Floating Into The Night,2023-12-05 10:38:17,5,F,Falling,1989
Tedeschi Trucks Band,Bound For Glory,Revelator,2023-12-05 10:43:24,5,B,Bound,2011
Salt N Pepa,Shoop,Very Necessary,2023-12-05 10:48:57,3,S,Shoop,1993
Bangles,Hazy Shade of Winter,Less Than Zero,2023-12-05 10:52:44,4,H,Hazy,1985
The Marvelettes,Too Many Fish In The Sea,(single),2023-12-05 10:57:20,2,T,Too,1964
Indigo Girls,Watershed,Nomads Indians Saints,2023-12-05 11:00:15,5,W,Watershed,1990
Pat Benatar,You Better Run,Crimes Of Passion,2023-12-05 11:05:52,4,Y,You,1980
Althea & Donna,Uptown Top Ranking,(single),2023-12-05 11:10:34,3,U,Uptown,1986
Missy Elliott,Get Ur Freak On,Miss E. So Addictive,2023-12-05 11:14:25,3,G,Get,2001
Billie Eilish,Bad Guy,"When We All Fall Asleep, Where Do We Go?",2023-12-05 11:17:56,3,B,Bad,2019
Dusty Springfield,Just A Little Lovin',Dusty in Memphis,2023-12-05 11:21:06,3,J,Just,1968
L7,Pretend We're Dead,Bricks Are Heavy,2023-12-05 11:24:39,3,P,Pretend,1992
Billie Eilish,When The Party's Over,"When We All Fall Asleep, Where Do We Go?",2023-12-05 11:28:29,3,W,When,2018
Bonnie Raitt,Have A Heart,Nick Of Time,2023-12-05 11:31:40,6,H,Have,1989
Irma Thomas,Ruler Of My Heart,Var: Saturday Night Fish Fry,2023-12-05 11:38:09,2,R,Ruler,1963
The Pretenders,Private Life,Pretenders,2023-12-05 11:40:40,6,P,Private,1995
Peggy Lee,Is That All There Is?,Is That All There is,2023-12-05 11:47:10,4,I,Is,1969
Nicolette Larson,Lotta Love,Nicolette,2023-12-05 11:51:28,4,L,Lotta,1978
The Marvelettes,Please Mr. Postman,Girl Group Greats,2023-12-05 11:55:46,2,P,Please,1963
Sister Rosetta Tharpe,Strange Things Happen Everyday,The Gospel Of The Blues,2023-12-05 11:58:10,3,S,Strange,1996
Lena Horne,Stormy Weather,Lena Horne: Greatest Hits,2023-12-05 12:01:22,3,S,Stormy,1995
The Supremes,Come See About Me,20th Century Masters,2023-12-05 12:05:11,5,C,Come,1964
Tina Turner,I Can't Stand The Rain,Private Dancer,2023-12-05 12:11:09,3,I,I,1984
Sleater-Kinney,Dig Me Out,Dig Me Out,2023-12-05 12:14:50,3,D,Dig,1997
Ani DiFranco,Fuel,Little Plastic Castle,2023-12-05 12:18:17,3,F,Fuel,1998
Jewel,Who Will Save Your Soul,Pieces Of You,2023-12-05 12:22:11,5,W,Who,1994
Joan Jett And The Blackhearts,Crimson & Clover,I Love Rock & Roll,2023-12-05 12:27:42,3,C,Crimson,1981
Madonna,Lucky Star,Madonna,2023-12-05 12:30:53,5,L,Lucky,1983
Fleetwood Mac,Over My Head,Fleetwood Mac,2023-12-05 12:36:24,3,O,Over,1975
Janis Ian,Society's Child (Baby I've Been Thinking),Society's Child - The Verve Recordings,2023-12-05 12:39:47,5,S,Society's,1970
Des'ree,You Gotta Be,I Ain't Movin',2023-12-05 12:44:57,3,Y,You,1994
Angel Olsen,Shut Up Kiss Me,My Woman,2023-12-05 12:48:49,3,S,Shut,2016
Santogold,L.E.S. Artistes,Santogold,2023-12-05 12:52:15,5,L,L,2008
Everything But the Girl,Missing,Amplified Heart,2023-12-05 12:57:19,4,M,Missing,1996
No Doubt,Spiderwebs,Tragic Kingdom,2023-12-05 13:01:41,4,S,Spiderwebs,1992
Norah Jones,Sunrise,Feels Like Home,2023-12-05 13:06:00,5,S,Sunrise,2004
The Crystals,Then He Kissed Me,Back To Mono - Phil Spector Collection,2023-12-05 13:11:24,2,T,Then,1983
The Pretenders,Time The Avenger,Learning To Crawl,2023-12-05 13:13:55,4,T,Time,1984
Janet Jackson,If,Janet,2023-12-05 13:18:54,4,I,If,1984
Sister Nancy,Bam Bam,One Two,2023-12-05 13:23:25,4,B,Bam,1994
Angelique Kidjo,Batonga,Logozo,2023-12-05 13:28:01,4,B,Batonga,1991
Barbra Streisand,Somewhere,The Broadway Album,2023-12-05 13:32:23,4,S,Somewhere,1985
Regina Spektor,On The Radio,Begin To Hope,2023-12-05 13:37:12,5,O,On,2006
Tracy Bonham,"Mother, Mother",The Burdens of Being Upright,2023-12-05 13:42:16,3,M,Mother,1996
Etta James,A Sunday Kind Of Love,At Last!,2023-12-05 13:45:27,3,A,A,1960
Grimes,Genesis,Visions,2023-12-05 13:48:42,6,G,Genesis,2012
Jane Siberry,Calling All Angels,When I Was A Boy,2023-12-05 13:54:44,5,C,Calling,1991
Karen Dalton,Something On Your Mind,In My Own Time,2023-12-05 13:59:51,3,S,Something,1971
Stevie Nicks,Leather and Lace,Bella Donna,2023-12-05 14:03:43,3,L,Leather,1981
Grace Potter,Love Is Love,Daylight,2023-12-05 14:07:32,4,L,Love,2019
Katrina & The Waves,Walking On Sunshine,80's Super Hits,2023-12-05 14:11:48,3,W,Walking,1983
Romeo Void,Never Say Never,Benefactor,2023-12-05 14:15:40,4,N,Never,1982
Salt N Pepa,Push It,"Hot, Cool & Vicious",2023-12-05 14:19:54,4,P,Push,1988
Suzanne Vega,Marlene On The Wall,Suzanne Vega,2023-12-05 14:24:37,5,M,Marlene,1985
Eurythmics,Here Comes The Rain Again,Touch,2023-12-05 14:30:26,4,H,Here,1984
Janet Jackson,That's The Way Love Goes,Janet,2023-12-05 14:35:22,6,T,That's,1993
The Go-Go's,We Got The Beat,Beauty And The Beat,2023-12-05 14:41:35,2,W,We,1980
Donna Summer,Bad Girls,Bad Girls,2023-12-05 14:44:05,3,B,Bad,1979
The Chicks,Wide Open Spaces,Wide Open Spaces,2023-12-05 14:48:01,4,W,Wide,0
Annie Lennox,Little Bird,Diva,2023-12-05 14:52:50,5,L,Little,1992
Patti Smith,Birdland,Horses,2023-12-05 14:58:01,10,B,Birdland,1975
Bonnie Raitt,Dimming Of The Day,Longing In Their Hearts,2023-12-05 15:08:51,3,D,Dimming,1994
Ella Fitzgerald,Misty,Something To Live For (Disc 2),2023-12-05 15:12:25,2,M,Misty,1960
Big Brother & The Holding Company,Down On Me,Big Brother & The Holding Company,2023-12-05 15:15:23,2,D,Down,1967
Sugarcubes,Birthday,Life's Too Good,2023-12-05 15:17:25,5,B,Birthday,1987
Dar Williams,Are You Out There,End Of Summer,2023-12-05 15:22:41,3,A,Are,1997
Donna Summer,MacArthur Park,Live And More,2023-12-05 15:25:42,4,M,MacArthur,1978
En Vogue,Free Your Mind,Funky Divas,2023-12-05 15:29:45,4,F,Free,1991
Mariah Carey,We Belong Together,The Emancipation Of Mimi,2023-12-05 15:34:29,4,W,We,2005
St. Vincent,Digital Witness,St. Vincent,2023-12-05 15:39:12,3,D,Digital,2014
The Story,So Much Mine,Angel In The House,2023-12-05 15:42:40,4,S,So,1993
The Supremes,Love Child,Love Child,2023-12-05 15:46:56,3,L,Love,1986
Wanda Jackson,Funnel Of Love,Rockin' With Wanda,2023-12-05 15:50:45,2,F,Funnel,1961
Britney Spears,Toxic,In The Zone,2023-12-05 15:52:54,3,T,Toxic,2004
Sheryl Crow,Everyday Is A Winding Road,Sheryl Crow,2023-12-05 15:56:12,4,E,Everyday,1997
Kathleen Edwards,Hard On Everyone,Total Freedom,2023-12-05 16:00:52,5,H,Hard,2020
Sin ad O'Connor,You Made Me The Thief Of Your Heart,In The Name Of The Father (soundtrack),2023-12-05 16:06:17,3,Y,You,0
Carole King,Jazzman,Wrap Around Joy,2023-12-05 16:10:00,7,J,Jazzman,1974
Koko Taylor,Wang Dang Doodle,What It Takes - The Chess Years,2023-12-05 16:17:56,3,W,Wang,1978
Luscious Jackson,Naked Eye,Fever In Fever Out,2023-12-05 16:21:43,5,N,Naked,1996
"Evelyn ""Champagne"" King",Shame,Smooth Talk,2023-12-05 16:27:20,6,S,Shame,1995
Nancy Sinatra,Bang Bang (My Baby Shot Me Down),How Does That Grab You?,2023-12-05 16:33:47,0,B,Bang,1966
Patty Griffin,Every Little Bit (remix Edit),Living With Ghosts,2023-12-05 16:34:00,8,E,Every,0
Ella Fitzgerald,Cry Me A River,"Clap Your Hands, Here Comes Charlie!",2023-12-05 16:42:00,1,C,Cry,1961
Courtney Barnett,Depreston,"Sometimes I Sit and Think, and Sometimes I Just Sit",2023-12-05 16:43:00,7,D,Depreston,2015
Sylvan Esso,Coffee,Sylvan Esso,2023-12-05 16:50:53,5,C,Coffee,2014
Andra Day,Rise Up,Cheers To The Fall,2023-12-05 16:56:24,4,R,Rise,2015
Billie Holiday,Summertime,Lady Day,2023-12-05 17:00:28,2,S,Summertime,1954
Minnie Riperton,Les Fleurs,Come To My Garden,2023-12-05 17:03:20,5,L,Les,1971
Sade,Soldier Of Love,Solider Of Love,2023-12-05 17:08:21,4,S,Soldier,2010
Tash Sultana,Jungle,Notion EP,2023-12-05 17:12:33,6,J,Jungle,2016
Florence + the Machine,Ship to Wreck,How Big How Blue How Beautiful,2023-12-06 08:00:45,5,S,Ship,2015
Lady Gaga,Million Reasons,Joanne,2023-12-06 08:06:09,3,M,Million,2016
Mama Cass Elliot,Dream a Little Dream of Me,Dream a Little Dream,2023-12-06 08:09:28,3,D,Dream,2004
Florence + the Machine,Shake It Out,Ceremonials,2023-12-06 08:13:26,4,S,Shake,2011
The Sundays,Goodbye,BLIND,2023-12-06 08:17:52,10,G,Goodbye,1992
boygenius,Cool About It,The Record,2023-12-06 08:28:40,3,C,Cool,2023
Pat Benatar,Invincible,Seven The Hard Way,2023-12-06 08:31:43,4,I,Invincible,1985
Cat Power,The Greatest,The Greatest,2023-12-06 08:36:04,6,T,The,2005
Gladys Knight & the Pips,Best Thing That Ever Happened To Me,Imagination,2023-12-06 08:42:13,3,B,Best,1973
Beth Orton,Stolen Car,Central Reservation,2023-12-06 08:45:55,4,S,Stolen,1998
Dar Williams,The Christians And The Pagans,Mortal City,2023-12-06 08:50:00,5,T,The,1996
Diana Ross,Love Hangover,Diana Ross,2023-12-06 08:55:31,4,L,Love,1976
Joanna Newsom,Emily,Ys,2023-12-06 08:59:44,14,E,Emily,2006
Carly Simon,The Right Thing To Do,No Secrets,2023-12-06 09:13:52,2,T,The,1971
Dar Williams,February,Many Great Companions,2023-12-06 09:16:47,1,F,February,1996
Lene Lovich,Lucky Number,Stateless,2023-12-06 09:20:38,2,L,Lucky,1978
Paramore,All I Wanted,Brand New Eyes,2023-12-06 09:23:22,4,A,All,2009
Enya,Only Time,A Day Without Rain (cd Single),2023-12-06 09:28:20,3,O,Only,1984
Evanescence,My Immortal,Fallen,2023-12-06 09:31:52,4,M,My,1998
Big Thief,Vampire Empire,Vampire Empire / Born for Loving You (single),2023-12-06 09:36:18,3,V,Vampire,2023
Janet Jackson,Nasty,Control,2023-12-06 09:40:00,4,N,Nasty,1982
Kate Bush,Love and Anger,The Sensual World,2023-12-06 09:44:38,4,L,Love,1989
Big Thief,Masterpiece,Masterpiece,2023-12-06 09:49:15,5,M,Masterpiece,2016
Cocteau Twins,Carolyn's Fingers,Blue Bell Knoll,2023-12-06 09:54:35,3,C,Carolyn's,1988
Mary Chapin Carpenter,I Am A Town,Live at the World Cafe Vol. 2,2023-12-06 09:57:35,4,I,I,1992
Cris Williamson,Waterfall,Changer and the Changed,2023-12-06 10:01:35,6,W,Waterfall,1975
Indigo Girls,Hammer And A Nail,Nomads Indians Saints,2023-12-06 10:08:16,4,H,Hammer,1990
Suzanne Vega,Left Of Center,Pretty In Pink (soundtrack),2023-12-06 10:13:00,2,L,Left,1986
Kathleen Edwards,"I Make The Dough, You Get The Glory",Asking For Flowers,2023-12-06 10:15:34,3,I,I,2008
Mitski,Nobody,Be The Cowboy,2023-12-06 10:19:32,4,N,Nobody,2018
Robyn,Call Your Girlfriend,Body Talk,2023-12-06 10:23:50,3,C,Call,2010
Ann Peebles,I Can't Stand The Rain,I Can't Stand The Rain,2023-12-06 10:27:32,2,I,I,1971
B-52's,Roam,Cosmic Thing,2023-12-06 10:30:02,5,R,Roam,1989
Haim,The Wire,Days Are Gone,2023-12-06 10:35:42,4,T,The,2012
Joni Mitchell,Blue Motel Room,Hejira,2023-12-06 10:39:53,4,B,Blue,1976
Joni Mitchell,Hissing Of Summer Lawns,The Hissing Of Summer Lawns,2023-12-06 10:44:51,3,H,Hissing,1975
Dolly Parton,Light of a Clear Blue Morning,New Harvest... First Gathering,2023-12-06 10:48:50,4,L,Light,1977
Patti Smith,Free Money,Horses,2023-12-06 10:53:34,4,F,Free,1975
ABBA,The Winner Takes It All,Super Trouper,2023-12-06 10:57:50,6,T,The,1981
Natalie Merchant,Ophelia,Ophelia,2023-12-06 11:04:15,4,O,Ophelia,1998
Patty Griffin,Mad Mission,Living With Ghosts,2023-12-06 11:08:55,0,M,Mad,1996
Belinda Carlisle,Heaven Is a Place on Earth,Heaven On Earth,2023-12-06 11:12:32,3,H,Heaven,1987
Laura Nyro,Save The Country,New York Tendaberry,2023-12-06 11:16:31,5,S,Save,1969
Grace Cummings,Heaven,Storm Queen,2023-12-06 11:22:29,4,H,Heaven,2021
Donna Summer,Love To Love You Baby,20th Century Masters - The Millennium Collection,2023-12-06 11:26:52,17,L,Love,1978
Wilson Phillips,Hold On,Hold On,2023-12-06 11:44:48,4,H,Hold,1990
Elizabeth Cotten,Freight Train,Freight Train And Other North Carolina Folk Songs And Tunes,2023-12-06 11:48:58,2,F,Freight,1958
Tracy Nelson,Down So Low,Tracy Nelson,2023-12-06 11:51:49,5,D,Down,1978
Janis Joplin,Little Girl Blue,I Got Dem Ol' Kozmic Blues Again Mama!,2023-12-06 11:57:48,4,L,Little,1969
Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,Lady Soul,2023-12-06 12:02:03,2,(,(,1968
Cyndi Lauper,Money Changes Everything,She's So Unusual,2023-12-06 12:04:20,6,M,Money,1983
Pixies,Gigantic,Surfer Rosa,2023-12-06 12:10:47,3,G,Gigantic,1997
Mama Cass Elliot,Make Your Own Kind Of Music,"Bubblegum, Lemonade, and ... Something for Mama",2023-12-06 12:13:59,3,M,Make,2010
Imogen Heap,Hide and Seek,Speak For Yourself,2023-12-06 12:17:03,4,H,Hide,2005
Joan Osborne,Spider Web,Relish,2023-12-06 12:21:11,5,S,Spider,1995
Sleater-Kinney,Modern Girl,The Woods,2023-12-06 12:26:25,3,M,Modern,2005
Alabama Shakes,Gimme All Your Love,Sound & Color,2023-12-06 12:29:26,3,G,Gimme,2015
First Aid Kit,My Silver Lining,Stay Gold,2023-12-06 12:33:23,5,M,My,2014
Fleetwood Mac,Warm Ways,Fleetwood Mac,2023-12-06 12:38:26,3,W,Warm,1975
Joni Mitchell,The Last Time I Saw Richard,Blue,2023-12-06 12:42:08,4,T,The,1971
Kate Bush,The Big Sky,Hounds Of Love,2023-12-06 12:46:21,5,T,The,1985
The Staple Singers,Respect Yourself,Be Altitude: Respect Yourself,2023-12-06 12:51:54,4,R,Respect,1972
Alannah Myles,Black Velvet,Alannah Myles,2023-12-06 12:56:36,5,B,Black,1990
Gladys Knight & the Pips,If I Were Your Woman,If I Were Your Woman,2023-12-06 13:01:46,4,I,If,1971
Kesha,Praying,Rainbow,2023-12-06 13:06:27,3,P,Praying,2017
Nanci Griffith,Once In A Very Blue Moon,Once In A Very Blue Moon,2023-12-06 13:10:10,2,O,Once,1984
Nena,99 Luftballoons,Nena,2023-12-06 13:12:44,3,9,99,1983
Queen Latifah,U.N.I.T.Y.,Black Reign,2023-12-06 13:16:33,5,U,U,1993
Martha & The Vandellas,Dancing In The Street,Dance Party,2023-12-06 13:22:01,2,D,Dancing,1974
Sara Bareilles,Gravity,Live at the World Cafe Vol. 31,2023-12-06 13:24:36,4,G,Gravity,2004
Joni Mitchell,That Song About The Midway,Clouds,2023-12-06 13:29:03,6,T,That,1969
Nina Simone,Don't Let Me Be Misunderstood,Broadway-Blues-Ballads,2023-12-06 13:35:38,2,D,Don't,1989
Paula Cole,Where Have All The Cowboys Gone,This Fire,2023-12-06 13:38:14,4,W,Where,1996
The Pretenders,Night In My Veins,Last of the Independents,2023-12-06 13:42:45,3,N,Night,1982
Barbra Streisand,Stoney End,Stoney End,2023-12-06 13:45:55,3,S,Stoney,1971
Sarah McLachlan,Sweet Surrender,Surfacing,2023-12-06 13:49:50,3,S,Sweet,1997
Gillian Welch,Orphan Girl,Revival,2023-12-06 13:53:43,3,O,Orphan,1996
Iris Dement,Let The Mystery Be,Infamous Angel,2023-12-06 13:57:31,3,L,Let,1992
Bangles,Eternal Flame,Everything,2023-12-06 14:00:42,3,E,Eternal,1984
Aimee Mann,Wise Up,Magnolia (soundtrack),2023-12-06 14:04:30,7,W,Wise,1996
Bonnie Raitt,Guilty,Takin' My Time,2023-12-06 14:12:13,2,G,Guilty,1973
Beth Orton,Sweetest Decline,Central Reservation,2023-12-06 14:15:08,6,S,Sweetest,1999
Bette Midler,Wind Beneath My Wings,Beaches,2023-12-06 14:21:31,6,W,Wind,1988
Lady Gaga,Poker Face,The Fame,2023-12-06 14:27:56,3,P,Poker,2008
Aretha Franklin,Bridge Over Troubled Water,Aretha's Greatest Hits,2023-12-06 14:31:51,5,B,Bridge,1968
Nina Simone,"To Be Young, Gifted and Black",Black Gold,2023-12-06 14:37:19,4,T,To,1973
Taylor Swift,You Belong With Me,Fearless,2023-12-06 14:41:30,3,Y,You,2008
Eva Cassidy,Songbird,Eva By Heart,2023-12-06 14:45:18,3,S,Songbird,1997
The Fugees,Killing Me Softly With His Song,The Score,2023-12-06 14:48:56,5,K,Killing,0
Aretha Franklin,Amazing Grace,Amazing Grace,2023-12-06 14:54:48,15,A,Amazing,1972
Kathleen Edwards,Six O'Clock News,Failer,2023-12-06 15:10:39,5,S,Six,2002
Patty Griffin,One Big Love,Flaming Red,2023-12-06 15:16:28,3,O,One,1998
Laura Nyro,Up On The Roof,Christmas And The Beads Of Sweat,2023-12-06 15:20:09,3,U,Up,1970
Mary Chapin Carpenter,This Shirt,Sometimes Just The Sky,2023-12-06 15:23:19,6,T,This,1989
Madonna,Take A Bow,Bedtime Stories,2023-12-06 15:29:34,5,T,Take,1994
"Suzanne Vega
",Small Blue Thing,"Suzanne Vega
",2023-12-06 15:35:00,2,S,Small,1985
Brandi Carlile,Every Time I Hear That Song,"By The Way, I Forgive You",2023-12-06 15:37:55,5,E,Every,2018
Diana Ross,Upside Down,Diana (deluxe Edition),2023-12-06 15:43:36,4,U,Upside,1989
Jewel,Foolish Games,Pieces Of You,2023-12-06 15:47:40,3,F,Foolish,1994
Sarah McLachlan,Good Enough,Fumbling Towards Ecstsay,2023-12-06 15:51:33,5,G,Good,1993
Tanya Tucker,Delta Dawn,Delta Dawn,2023-12-06 15:56:48,3,D,Delta,1982
Beyonc,Hold Up,Lemonade,2023-12-06 16:00:20,3,H,Hold,0
Grace Potter & The Nocturnals,Paris (Ooh La La),Grace Potter And The Nocturnals,2023-12-06 16:03:59,5,P,Paris,2010
Tracy Chapman,The Promise,New Beginning,2023-12-06 16:09:27,5,T,The,1995
Phoebe Bridgers,Kyoto,Punisher,2023-12-06 16:14:49,3,K,Kyoto,2020
Shania Twain,Man! I feel like a Woman,Come On Over,2023-12-06 16:18:36,6,M,Man,1998
Tori Amos,A Sorta Fairytale,Scarlet's Walk,2023-12-06 16:24:36,5,A,A,2001
Etta James,Tell Mama,Tell Mama,2023-12-06 16:30:00,2,T,Tell,1987
Pat Benatar,Shadows Of The Night,Get Nervous,2023-12-06 16:32:22,3,S,Shadows,1982
Jill Scott,Golden,Beautifully Human: Words and Sounds Vol. 2,2023-12-06 16:35:57,5,G,Golden,2004
The Highwomen,Highwomen,The Highwomen,2023-12-06 16:41:44,3,H,Highwomen,2019
Belly,Feed The Tree,Star,2023-12-06 16:45:06,3,F,Feed,1992
Feist,1234,The Reminder,2023-12-06 16:48:39,2,1,1234,2005
Lizzo,Truth Hurts,Cuz I Love You,2023-12-06 16:51:38,4,T,Truth,2016
PJ Harvey,Sheela-Na-Gig,Dry,2023-12-06 16:56:29,3,S,Sheela-Na-Gig,1992
Taylor Swift,Cardigan,folklore,2023-12-06 17:00:12,5,C,Cardigan,2020
TLC,No Scrubs,FanMail,2023-12-06 17:05:30,3,N,No,1999
Regina Spektor,Us,Soviet Kitsch,2023-12-06 17:09:00,4,U,Us,2003
Rickie Lee Jones,We Belong Together,Pirates,2023-12-06 17:13:48,6,W,We,1981
Sade,Is It A Crime,Promise,2023-12-06 17:20:07,6,I,Is,1985
Amy Correia,The Bike,Carnival Love,2023-12-06 17:26:12,4,T,The,2000
Patty Griffin,Mary,Flaming Red,2023-12-06 17:30:57,6,M,Mary,1998
Sister Sledge,We Are Family,We Are Family,2023-12-06 17:37:56,8,W,We,1989
Tina Turner,We Don't Need Another Hero (Thunderdome),Thunderdome Soundtrack,2023-12-06 17:46:14,4,W,We,1985
Loretta Lynn,Don't Come Home A-Drinkin' With Lovin' On Your Mind,The Definitive Collection,2023-12-06 17:50:26,2,D,Don't,1967
Ani DiFranco,Not A Pretty Girl,Not A Pretty Girl,2023-12-07 08:00:31,5,N,Not,1990
Heart,Straight On,Dog & Butterfly,2023-12-07 08:06:06,4,S,Straight,1978
Massive Attack,Teardrop,Mezzanine,2023-12-07 08:11:01,6,T,Teardrop,1998
Irene Cara,Fame,Fame (soundtrack From The Motion Picture),2023-12-07 08:17:04,9,F,Fame,1986
Lake Street Dive,Bad Self Portraits,Bad Self Portraits,2023-12-07 08:27:03,3,B,Bad,2014
Loretta Lynn,Fist City,Fist City,2023-12-07 08:30:19,2,F,Fist,1968
Spice Girls,Wannabe,Spice,2023-12-07 08:32:35,4,W,Wannabe,1997
Nina Simone,Four Women,Wild Is The Wind,2023-12-07 08:37:08,4,F,Four,1987
Fiona Apple,I Want You to Love Me,Fetch the Bolt Cutters,2023-12-07 08:41:30,4,I,I,2020
Gillian Welch,Everything Is Free,Time (The Revelator),2023-12-07 08:45:32,8,E,Everything,2001
Sade,Your Love Is King,Diamond Life,2023-12-07 08:54:13,4,Y,Your,1984
The Supremes,Someday We'll Be Together,The Ultimate Collection: Diana Ross & The Supremes,2023-12-07 08:58:18,3,S,Someday,1977
The Supremes,Where Did Our Love Go,Where Did Our Love Go,2023-12-07 09:01:33,4,W,Where,1967
Kathleen Edwards,Back To Me,Back To Me,2023-12-07 09:05:54,3,B,Back,2005
PJ Harvey,Dress,Dry,2023-12-07 09:09:14,3,D,Dress,1991
Liz Phair,"6'1""",Exile In Guyville,2023-12-07 09:12:38,3,6,6'1,1993
Cowboy Junkies,Misguided Angel,The Trinity Sessions,2023-12-07 09:15:39,6,M,Misguided,1988
Regina Spektor,Fidelity,Begin To Hope,2023-12-07 09:22:04,3,F,Fidelity,2005
Heart,These Dreams,Heart,2023-12-07 09:25:48,4,T,These,1985
Beyoncé,Halo,I Am...Sasha Fierce,2023-12-07 09:30:01,5,H,Halo,2008
Veruca Salt,Seether,American Thighs,2023-12-07 09:35:41,3,S,Seether,1993
"10,000 Maniacs",What's The Matter Here,In My Tribe,2023-12-07 09:38:56,4,W,What's,1986
Portishead,Sour Times,Dummy,2023-12-07 09:43:48,4,S,Sour,1994
Deee-Lite,Groove Is In The Heart,World Clique,2023-12-07 09:47:56,5,G,Groove,1996
Maxine Nightingale,Right Back Where We Started From,Right Back Where We Started From,2023-12-07 09:53:18,3,R,Right,1976
Rickie Lee Jones,Chuck E's In Love,Rickie Lee Jones,2023-12-07 09:56:26,4,C,Chuck,1979
Janis Jopline,Maybe,I Got Dem Ol' Kozmic Blues Again Mama!,2023-12-07 10:01:00,5,M,Maybe,0
Alanis Morissette,Head Over Feet,Jagged Little Pill,2023-12-07 10:06:01,4,H,Head,1995
Cocteau Twins,Heaven Or Las Vegas,Heaven Or Las Vegas,2023-12-07 10:10:11,3,H,Heaven,1990
PJ Harvey,You Said Something,"Stories From The City, Stories From The Sea",2023-12-07 10:13:55,3,Y,You,2000
Sneaker Pimps,6 Underground,Becoming X,2023-12-07 10:17:05,6,6,6,1996
Garbage,#1 Crush,Romeo + Juliet Soundtrack,2023-12-07 10:23:05,4,#,#,1995
Tammy Wynette,Stand By Your Man,Stand By Your Man,2023-12-07 10:27:38,2,S,Stand,1988
Taylor Swift,exile (featuring bon iver),folklore,2023-12-07 10:30:24,6,e,exile,0
Wet Leg,Chaise Longue,Wet Leg,2023-12-07 10:37:04,3,C,Chaise,2021
Gillian Welch,Elvis Presley Blues,Time (The Revelator),2023-12-07 10:40:27,4,E,Elvis,2001
