Artist,Title,Air Time_x,Letter_x,First Word,Duration_x,Year,Air Time_y,Letter_y,Duration_y
U2,Angel Of Harlem,2018-11-28 17:25:00,A,Angel,5,1988,2016-11-30 18:01:00,A,4
The Who,Another Tricky Day,2018-11-28 18:04:00,A,Another,4,1981,2016-11-30 19:23:00,A,5
The Replacements,Answering Machine,2018-11-28 18:18:00,A,Answering,3,1984,2016-11-30 19:31:00,A,4
Adam & The Ants,Antmusic,2018-11-28 18:25:00,A,Antmusic,5,1980,2016-11-30 19:35:00,A,4
Greg Kihn,Any Other Woman,2018-11-28 18:37:00,A,Any,3,1989,2016-11-30 19:46:00,A,4
The Jesus And Mary Chain,April Skies,2018-11-28 19:00:00,A,April,4,1987,2016-11-30 20:31:00,A,4
Steve Winwood,Arc Of A Diver,2018-11-28 19:04:00,A,Arc,7,1980,2016-11-30 20:44:00,A,5
Prince & The Revolution,Around The World In A Day,2018-11-28 19:36:00,A,Around,3,1985,2016-11-30 21:25:00,A,4
David Bowie,Ashes To Ashes,2018-11-28 19:49:00,A,Ashes,6,1980,2016-11-30 21:44:00,A,6
Bruce Springsteen,Atlantic City,2018-11-28 20:15:00,A,Atlantic,4,1982,2016-11-30 22:24:00,A,5
Roxy Music,Avalon,2018-11-28 20:52:00,A,Avalon,4,1982,2016-11-30 22:44:00,A,4
Steely Dan,Babylon Sisters,2018-11-28 21:34:00,B,Babylon,7,1980,2016-12-01 00:36:00,B,7
The Pretenders,Back On The Chain Gang,2018-11-28 21:50:00,B,Back,5,1982,2016-12-01 01:14:00,B,3
U2,Bad,2018-11-28 22:14:00,B,Bad,6,1984,2016-12-01 01:41:00,B,6
Warren Zevon,Bad Luck Streak In Dancing School,2018-11-28 22:39:00,B,Bad,3,1980,2016-12-01 02:19:00,B,3
Love And Rockets,Ball Of Confusion,2018-11-28 23:14:00,B,Ball,3,1985,2016-12-01 03:08:00,B,4
Todd Rundgren,Bang The Drum All Day,2018-11-28 23:26:00,B,Bang,3,1982,2016-12-01 03:47:00,B,4
The Replacements,Bastards Of Young,2018-11-28 23:51:00,B,Bastards,5,1985,2016-12-01 04:15:00,B,3
The Jam,Beat Surrender,2018-11-29 00:46:00,B,Beat,4,1982,2016-12-01 05:08:00,B,3
Devo,Beautiful World,2018-11-29 01:13:00,B,Beautiful,3,1981,2016-12-01 05:15:00,B,3
Midnight Oil,Beds Are Burning,2018-11-29 01:22:00,B,Beds,4,1987,2016-12-01 05:37:00,B,4
The Smithereens,Behind The Wall Of Sleep,2018-11-29 01:51:00,B,Behind,4,1986,2016-12-01 06:29:00,B,3
The Kinks,Better Things,2018-11-29 02:37:00,B,Better,3,1981,2016-12-01 07:56:00,B,4
Adrian Belew,Big Electric Cat,2018-11-29 02:52:00,B,Big,5,1982,2016-12-01 08:17:00,B,7
Keith Richards,Big Enough,2018-11-29 02:57:00,B,Big,4,1988,2016-12-01 08:24:00,B,4
Robert Plant,Big Log,2018-11-29 03:10:00,B,Big,5,1983,2016-12-01 08:41:00,B,5
Peter Gabriel,Big Time,2018-11-29 03:32:00,B,Big,4,1986,2016-12-01 09:03:00,B,5
The Smiths,Bigmouth Strikes Again,2018-11-29 03:47:00,B,Bigmouth,3,1986,2016-12-01 09:21:00,B,4
Peter Gabriel,Biko,2018-11-29 03:53:00,B,Biko,7,1980,2016-12-01 09:25:00,B,8
Sugarcubes,Birthday,2018-11-29 04:18:00,B,Birthday,4,1987,2016-12-01 09:56:00,B,4
Squeeze,Black Coffee In Bed,2018-11-29 04:41:00,B,Black,8,1982,2016-12-01 10:45:00,B,8
Depeche Mode,Blasphemous Rumors,2018-11-29 05:22:00,B,Blasphemous,6,1984,2016-12-01 12:03:00,B,7
Talking Heads,Blind,2018-11-29 05:28:00,B,Blind,5,1988,2016-12-01 12:10:00,B,5
Violent Femmes,Blister In The Sun,2018-11-29 05:43:00,B,Blister,2,1983,2016-12-01 12:22:00,B,2
The Smithereens,Blood & Roses,2018-11-29 05:45:00,B,Blood,3,1986,2016-12-01 12:29:00,B,6
New Order,Blue Monday,2018-11-29 06:07:00,B,Blue,5,1983,2016-12-01 13:01:00,B,5
Bruce Springsteen,Bobby Jean,2018-11-29 06:30:00,B,Bobby,4,1984,2016-12-01 14:13:00,B,4
Warren Zevon,Boom Boom Mancini,2018-11-29 06:52:00,B,Boom,5,1987,2016-12-01 15:34:00,B,5
Madonna,Borderline,2018-11-29 06:57:00,B,Borderline,6,1983,2016-12-01 16:00:00,B,6
Bruce Springsteen,Born In The USA,2018-11-29 07:03:00,B,Born,4,1984,2016-12-01 16:15:00,B,5
Jackson Browne,Boulevard,2018-11-29 07:23:00,B,Boulevard,3,1980,2016-12-01 16:56:00,B,4
The Pretenders,Brass In Pocket,2018-11-29 07:41:00,B,Brass,3,1980,2016-12-01 18:10:00,B,3
UB40,Breakfast In Bed,2018-11-29 08:23:00,B,Breakfast,3,1988,2016-12-01 18:26:00,B,3
Joe Jackson,Breaking Us In Two,2018-11-29 08:29:00,B,Breaking,4,1982,2016-12-01 18:36:00,B,6
Bruce Springsteen,Brilliant Disguise,2018-11-29 08:43:00,B,Brilliant,4,1987,2016-12-01 19:18:00,B,4
Bob Marley & The Wailers,Buffalo Soldier,2018-11-29 10:03:00,B,Buffalo,4,1983,2016-12-01 20:42:00,B,4
Neneh Cherry,Buffalo Stance,2018-11-29 10:07:00,B,Buffalo,8,1988,2016-12-01 20:46:00,B,7
U2,Bullet The Blue Sky,2018-11-29 10:15:00,B,Bullet,4,1987,2016-12-01 21:04:00,B,7
Talking Heads,Burning Down The House,2018-11-29 10:33:00,B,Burning,4,1983,2016-12-01 21:29:00,B,4
Bruce Springsteen,Cadillac Ranch,2018-11-29 11:00:00,C,Cadillac,3,1980,2016-12-01 22:25:00,C,5
R. E. M.,Can't Get There From Here,2018-11-29 12:03:00,C,Can't,4,1985,2016-12-02 01:17:00,C,3
The English Beat,Can't Get Used To Losing You,2018-11-29 12:07:00,C,Can't,4,1980,2016-12-02 01:20:00,C,3
The Replacements,Can't Hardly Wait,2018-11-29 12:11:00,C,Can't,3,1985,2016-12-02 01:23:00,C,3
The Clash,Car Jamming,2018-11-29 12:26:00,C,Car,4,1982,2016-12-02 02:05:00,C,3
R. E. M.,Catapult,2018-11-29 13:28:00,C,Catapult,4,1983,2016-12-02 04:17:00,C,4
Pretty Poison,Catch Me (I'm Falling),2018-11-29 13:36:00,C,Catch,6,1987,2016-12-02 04:21:00,C,4
The Bluebells,Cath,2018-11-29 13:46:00,C,Cath,3,1983,2016-12-02 04:31:00,C,4
The J. Geils Band,Centerfold,2018-11-29 14:27:00,C,Centerfold,6,1988,2016-12-02 05:22:00,C,5
Tears For Fears,Change,2018-11-29 15:05:00,C,Change,6,1983,2016-12-02 06:13:00,C,3
De La Soul,Change In Speak,2018-11-29 15:11:00,C,Change,3,1989,2016-12-02 06:16:00,C,6
Tom Petty & The Heartbreakers,Change Of Heart,2018-11-29 15:14:00,C,Change,3,1982,2016-12-02 06:22:00,C,3
Lucinda Williams,Changed The Locks,2018-11-29 15:23:00,C,Changed,4,1988,2016-12-02 06:42:00,C,4
B-52's,Channel Z,2018-11-29 15:27:00,C,Channel,5,1989,2016-12-02 07:00:00,C,5
John Mellencamp,Check It Out,2018-11-29 15:45:00,C,Check,4,1987,2016-12-02 07:29:00,C,4
John Mellencamp,Cherry Bomb,2018-11-29 15:49:00,C,Cherry,6,1987,2016-12-02 07:50:00,C,5
UB40,Cherry Oh Baby,2018-11-29 15:55:00,C,Cherry,4,1983,2016-12-02 08:05:00,C,4
David Bowie,China Girl,2018-11-29 16:16:00,C,China,4,1983,2016-12-02 08:51:00,C,4
Joe Jackson,Chinatown,2018-11-29 16:20:00,C,Chinatown,5,1982,2016-12-02 09:04:00,C,4
Siouxsie & The Banshees,Christine,2018-11-29 16:28:00,C,Christine,3,1980,2016-12-02 09:19:00,C,3
War,Cinco De Mayo,2018-11-29 17:10:00,C,Cinco,4,1982,2016-12-02 09:42:00,C,4
Tom Waits,Clap Hands,2018-11-29 17:41:00,C,Clap,4,1985,2016-12-02 10:20:00,C,4
Van Morrison,Cleaning Windows,2018-11-29 17:55:00,C,Cleaning,5,1982,2016-12-02 10:34:00,C,5
The Cure,Close to Me,2018-11-29 18:08:00,C,Close,5,1986,2016-12-02 11:16:00,C,4
Indigo Girls,Closer To Fine,2018-11-29 18:13:00,C,Closer,1,1989,2016-12-02 11:39:00,C,4
Indigo Girls,Closer To Fine,2018-11-29 18:14:00,C,Closer,3,1989,2016-12-02 11:39:00,C,4
Kate Bush,Cloudbusting,2018-11-29 18:24:00,C,Cloudbusting,6,1985,2016-12-02 11:54:00,C,6
Elvis Costello,Clubland,2018-11-29 18:30:00,C,Clubland,4,1980,2016-12-02 12:42:00,C,3
Big Audio Dynamite,C'mon Every Beatbox,2018-11-29 18:34:00,C,C'mon,4,1986,2016-12-02 12:45:00,C,7
Stevie Ray Vaughan,Cold Shot,2018-11-29 18:53:00,C,Cold,4,1984,2016-12-02 13:45:00,C,7
The Kinks,Come Dancing,2018-11-29 19:25:00,C,Come,3,1983,2016-12-02 14:56:00,C,4
Dexy's Midnight Runners,Come On Eileen,2018-11-29 19:39:00,C,Come,4,1982,2016-12-02 15:14:00,C,4
Kraftwerk,Computer Love,2018-11-29 20:19:00,C,Computer,8,1981,2016-12-02 16:42:00,C,9
Sting,Consider Me Gone,2018-11-29 20:45:00,C,Consider,4,1985,2016-12-02 17:17:00,C,3
Prince,Controversy,2018-11-29 20:56:00,C,Controversy,4,1981,2016-12-02 17:35:00,C,3
Sparks & Jane Wiedlin,Cool Places,2018-11-29 21:11:00,C,Cool,6,1983,2016-12-02 17:47:00,C,3
Steve Earle,Copperhead Road,2018-11-29 21:21:00,C,Copperhead,5,1988,2016-12-02 17:50:00,C,7
Bob Marley & The Wailers,Could You Be Loved,2018-11-29 21:33:00,C,Could,4,1980,2016-12-02 18:18:00,C,4
Stevie Ray Vaughan,Couldn't Stand The Weather,2018-11-29 21:37:00,C,Couldn't,6,1984,2016-12-02 18:28:00,C,6
Bruce Springsteen,Cover Me,2018-11-29 21:43:00,C,Cover,3,1984,2016-12-02 19:06:00,C,4
The Primitives,Crash,2018-11-29 22:02:00,C,Crash,2,1986,2016-12-02 19:43:00,C,3
Pete Townshend,Crashing By Design,2018-11-29 22:04:00,C,Crashing,3,1985,2016-12-02 19:51:00,C,5
Talking Heads,Creatures Of Love,2018-11-29 22:38:00,C,Creatures,4,1985,2016-12-02 20:34:00,C,6
Joan Jett And The Blackhearts,Crimson & Clover,2018-11-29 22:45:00,C,Crimson,5,1981,2016-12-02 21:05:00,C,4
Talking Heads,Crosseyed And Painless,2018-11-29 22:59:00,C,Crosseyed,5,1980,2016-12-02 21:19:00,C,5
Stevie Ray Vaughan,Crossfire,2018-11-29 23:04:00,C,Crossfire,5,1989,2016-12-02 21:35:00,C,5
Bananarama,Cruel Summer,2018-11-29 23:09:00,C,Cruel,4,1983,2016-12-02 21:56:00,C,4
Godley & Creme,Cry,2018-11-29 23:28:00,C,Cry,4,1985,2016-12-02 22:11:00,C,3
Living Colour,Cult Of Personality,2018-11-29 23:40:00,C,Cult,5,1989,2016-12-02 22:55:00,C,5
Marshall Crenshaw,Cynical Girl,2018-11-29 23:52:00,C,Cynical,2,1982,2016-12-02 23:28:00,C,2
Trio,Da Da Da,2018-11-30 00:17:00,D,Da,3,1982,2016-12-02 23:37:00,D,4
The Rolling Stones,Dance (pt.1),2018-11-30 00:32:00,D,Dance,5,1980,2016-12-02 23:55:00,D,5
Wang Chung,Dance Hall Days,2018-11-30 00:37:00,D,Dance,4,1982,2016-12-03 00:03:00,D,4
Bruce Springsteen,Dancing In The Dark,2018-11-30 01:18:00,D,Dancing,5,1984,2016-12-03 00:55:00,D,4
Generation X,Dancing With Myself,2018-11-30 01:30:00,D,Dancing,4,1981,2016-12-03 01:17:00,D,4
Bruce Springsteen,Darlington County,2018-11-30 02:21:00,D,Darlington,5,1984,2016-12-03 02:12:00,D,5
XTC,Dear God,2018-11-30 03:03:00,D,Dear,4,1986,2016-12-03 03:38:00,D,4
The Pixies,Debaser,2018-11-30 03:22:00,D,Debaser,3,1989,2016-12-03 04:09:00,D,3
Prince,Delirious,2018-11-30 03:36:00,D,Delirious,4,1982,2016-12-03 04:39:00,D,4
The Kinks,Destroyer,2018-11-30 04:16:00,D,Destroyer,5,1981,2016-12-03 05:27:00,D,3
Paul Simon,Diamonds On The Soles Of Her Shoes,2018-11-30 04:26:00,D,Diamonds,6,1986,2016-12-03 06:04:00,D,6
Van Morrison,Did Ye Get Healed?,2018-11-30 04:36:00,D,Did,5,1987,2016-12-03 06:14:00,D,4
Lou Reed,Dirty Blvd.,2018-11-30 05:13:00,D,Dirty,3,1989,2016-12-03 06:46:00,D,4
King Crimson,Discipline,2018-11-30 05:42:00,D,Discipline,6,1981,2016-12-03 07:07:00,D,6
Randy Newman,Dixie Flyer,2018-11-30 06:34:00,D,Dixie,4,1988,2016-12-03 07:41:00,D,4
The Kinks,Do It Again,2018-11-30 06:43:00,D,Do,4,1984,2016-12-03 08:09:00,D,6
The Ramones,Do You Remember Rock N' Roll Radio?,2018-11-30 07:09:00,D,Do,4,1980,2016-12-03 08:43:00,D,4
The Thompson Twins,Doctor! Doctor!,2018-11-30 07:23:00,D,Doctor,4,1984,2016-12-03 09:03:00,D,5
Robert Cray,Don't Be Afraid Of The Dark,2018-11-30 08:23:00,D,Don't,4,1988,2016-12-03 10:00:00,D,3
Public Enemy,Don't Believe The Hype,2018-11-30 08:37:00,D,Don't,6,1988,2016-12-03 10:14:00,D,5
Stan Ridgway,Don't Box Me In,2018-11-30 08:43:00,D,Don't,5,1986,2016-12-03 10:19:00,D,5
INXS,Don't Change,2018-11-30 08:48:00,D,Don't,7,1982,2016-12-03 10:36:00,D,4
Tom Petty,Don't Come Around Here No More,2018-11-30 08:55:00,D,Don't,6,1985,2016-12-03 10:40:00,D,7
Crowded House,Don't Dream It's Over,2018-11-30 09:05:00,D,Don't,6,1986,2016-12-03 11:02:00,D,4
Grateful Dead,Don't Ease Me In,2018-11-30 09:11:00,D,Don't,3,1980,2016-12-03 11:12:00,D,3
The Pretenders,Don't Get Me Wrong,2018-11-30 09:27:00,D,Don't,4,1980,2016-12-03 11:15:00,D,4
Peter Gabriel,Don't Give Up,2018-11-30 09:35:00,D,Don't,8,1987,2016-12-03 11:19:00,D,6
Yaz,Don't Go,2018-11-30 09:47:00,D,Don't,4,1982,2016-12-03 11:25:00,D,4
R. E. M.,Don't Go Back To Rockville,2018-11-30 09:51:00,D,Don't,4,1988,2016-12-03 11:33:00,D,5
They Might Be Giants,Don't Let's Start,2018-11-30 10:31:00,D,Don't,3,1985,2016-12-03 12:10:00,D,3
Del Fuegos,Don't Run Wild,2018-11-30 10:44:00,D,Don't,3,1985,2016-12-03 12:36:00,D,3
The Police,Don't Stand So Close To Me,2018-11-30 11:00:00,D,Don't,4,1980,2016-12-03 12:39:00,D,6
Journey,Don't Stop Believin',2018-11-30 11:04:00,D,Don't,5,1984,2016-12-03 12:51:00,D,4
Bryan Ferry,Don't Stop The Dance,2018-11-30 11:09:00,D,Don't,5,1985,2016-12-03 12:55:00,D,5
Blancmange,Don't Tell Me,2018-11-30 11:38:00,D,Don't,3,1984,2016-12-03 13:11:00,D,5
Simple Minds,Don't You (Forget About Me),2018-11-30 12:25:00,D,Don't,4,1986,2016-12-03 13:39:00,D,4
The Human League,Don't You Want Me,2018-11-30 12:29:00,D,Don't,4,1983,2016-12-03 13:56:00,D,5
Bruce Springsteen,Downbound Train,2018-11-30 13:26:00,D,Downbound,3,1984,2016-12-03 15:24:00,D,6
Tom Waits,Downtown Train,2018-11-30 13:29:00,D,Downtown,5,1985,2016-12-03 15:33:00,D,4
Suicide,Dream Baby Dream,2018-11-30 13:53:00,D,Dream,7,1981,2016-12-03 15:54:00,D,6
The Cars,Drive,2018-11-30 14:32:00,D,Drive,4,1988,2016-12-03 17:01:00,D,4
John Hiatt,Drive South,2018-11-30 14:50:00,D,Drive,5,1988,2016-12-03 17:14:00,D,4
The Police,Driven To Tears,2018-11-30 14:55:00,D,Driven,3,1980,2016-12-03 17:23:00,D,5
Joan Armatrading,Drop The Pilot,2018-11-30 15:07:00,D,Drop,4,1983,2016-12-03 17:46:00,D,3
Stevie Nicks,Edge Of Seventeen,2018-11-30 16:20:00,E,Edge,7,1981,2016-12-03 19:34:00,E,7
Husker Du,Eight Miles High,2018-11-30 16:31:00,E,Eight,4,1984,2016-12-03 19:48:00,E,5
King Crimson,Elephant Talk,2018-11-30 17:02:00,E,Elephant,4,1981,2016-12-03 20:22:00,E,6
Mojo Nixon,Elvis Is Everywhere,2018-11-30 17:06:00,E,Elvis,7,1987,2016-12-03 20:45:00,E,5
The Who,Eminence Front,2018-11-30 17:13:00,E,Eminence,5,1982,2016-12-03 20:53:00,E,6
The Rolling Stones,Emotional Rescue,2018-11-30 17:24:00,E,Emotional,5,1980,2016-12-03 20:59:00,E,6
Traveling Wilburys,End of the Line,2018-11-30 17:42:00,E,End,4,1988,2016-12-03 21:13:00,E,4
Kid Creole & The Coconuts,Endicott,2018-11-30 17:46:00,E,Endicott,4,1985,2016-12-03 21:17:00,E,4
Sting,Englishman In New York,2018-11-30 18:04:00,E,Englishman,6,1988,2016-12-03 21:21:00,E,6
The Specials,Enjoy Yourself,2018-11-30 18:10:00,E,Enjoy,3,1980,2016-12-03 21:32:00,E,3
Orchestral Manoeuvres In The Dark,Enola Gay,2018-11-30 18:13:00,E,Enola,4,1980,2016-12-03 21:35:00,E,6
Robert Hazard,Escalator Of Life,2018-11-30 18:28:00,E,Escalator,4,1982,2016-12-03 21:44:00,E,4
Dire Straits,Espresso Love,2018-11-30 18:32:00,E,Espresso,5,1980,2016-12-03 21:48:00,E,6
Bruce Hornsby & The Range,Every Little Kiss,2018-11-30 19:09:00,E,Every,5,1986,2016-12-03 22:38:00,E,8
Leonard Cohen,Everybody Knows,2018-11-30 19:38:00,E,Everybody,5,1988,2016-12-03 23:31:00,E,5
Tears For Fears,Everybody Wants To Rule The World,2018-11-30 19:43:00,E,Everybody,4,1986,2016-12-03 23:51:00,E,5
Elvis Costello,Everyday I Write The Book,2018-11-30 19:56:00,E,Everyday,4,1983,2016-12-04 00:24:00,E,6
Morrissey,Everyday Is Like Sunday,2018-11-30 20:00:00,E,Everyday,3,1988,2016-12-04 00:34:00,E,4
Depeche Mode,Everything Counts,2018-11-30 20:06:00,E,Everything,5,1983,2016-12-04 00:55:00,E,5
Bob Dylan,Everything Is Broken,2018-11-30 20:11:00,E,Everything,3,1989,2016-12-04 01:08:00,E,3
Jane Siberry,Everything Reminds Me Of My Dog,2018-11-30 20:14:00,E,Everything,4,1989,2016-12-04 01:15:00,E,5
Cheap Trick,Everything Works If You Let It,2018-11-30 20:26:00,E,Everything,3,1980,2016-12-04 01:20:00,E,3
Translator,Everywhere That I'm Not,2018-11-30 21:00:00,E,Everywhere,4,1982,2016-12-04 01:23:00,E,4
N. W. A.,Express Yourself,2018-11-30 21:24:00,E,Express,4,1988,2016-12-04 02:03:00,E,4
Pete Townshend,Face The Face,2018-11-30 21:54:00,F,Face,6,1985,2016-12-04 02:35:00,F,6
Bodeans,Fadeaway,2018-11-30 22:16:00,F,Fadeaway,7,1986,2016-12-04 02:41:00,F,5
R. E. M.,Fall On Me,2018-11-30 22:46:00,F,Fall,3,1986,2016-12-04 03:17:00,F,2
David Bowie,Fashion,2018-11-30 23:43:00,F,Fashion,5,1980,2016-12-04 03:59:00,F,5
Tracy Chapman,Fast Car,2018-11-30 23:48:00,F,Fast,6,1988,2016-12-04 04:12:00,F,6
Haircut One Hundred,Favourite Shirts (Boy Meets Girl),2018-12-01 00:02:00,F,Favourite,4,1981,2016-12-04 04:31:00,F,3
R. E. M.,Feeling Gravity's Pull,2018-12-01 00:30:00,F,Feeling,5,1985,2016-12-04 05:05:00,F,6
Neville Brothers,Fever,2018-12-01 00:46:00,F,Fever,5,1988,2016-12-04 05:29:00,F,5
Public Enemy,Fight The Power,2018-12-01 00:55:00,F,Fight,5,1989,2016-12-04 05:50:00,F,5
R. E. M.,Finest Worksong,2018-12-01 01:03:00,F,Finest,4,1987,2016-12-04 05:55:00,F,4
Neville Brothers,Fire On The Bayou,2018-12-01 01:15:00,F,Fire,5,1981,2016-12-04 06:31:00,F,7
The Stone Roses,Fool's Gold,2018-12-01 02:41:00,F,Fool's,11,1989,2016-12-04 08:29:00,F,11
King Crimson,Frame By Frame,2018-12-01 03:44:00,F,Frame,5,1981,2016-12-04 10:40:00,F,7
Tom Petty,Free Falling,2018-12-01 04:11:00,F,Free,5,1989,2016-12-04 11:13:00,F,4
Special AKA,Free Nelson Mandela,2018-12-01 04:16:00,F,Free,4,1988,2016-12-04 11:28:00,F,6
Devo,Freedom Of Choice,2018-12-01 04:29:00,F,Freedom,4,1980,2016-12-04 11:44:00,F,3
Steve Winwood,Freedom Overspill,2018-12-01 04:33:00,F,Freedom,6,1986,2016-12-04 11:50:00,F,6
Elvis Costello,From A Whisper To A Scream,2018-12-01 05:22:00,F,From,3,1981,2016-12-04 12:37:00,F,3
Peter Gabriel,Games Without Frontiers,2018-12-01 06:18:00,G,Games,4,1980,2016-12-04 14:27:00,G,4
XTC,Generals & Majors,2018-12-01 06:43:00,G,Generals,4,1980,2016-12-04 14:39:00,G,5
Tom Tom Club,Genius Of Love,2018-12-01 06:51:00,G,Genius,6,1981,2016-12-04 14:44:00,G,5
The Specials,Ghost Town,2018-12-01 07:50:00,G,Ghost,6,1981,2016-12-04 16:55:00,G,6
The Pixies,Gigantic,2018-12-01 08:10:00,G,Gigantic,3,1988,2016-12-04 17:11:00,G,4
Devo,Girl U Want,2018-12-01 08:28:00,G,Girl,3,1980,2016-12-04 17:50:00,G,4
Talking Heads,Girlfriend Is Better,2018-12-01 08:31:00,G,Girlfriend,8,1983,2016-12-04 18:05:00,G,8
Cyndi Lauper,Girls Just Want To Have Fun,2018-12-01 08:47:00,G,Girls,5,1988,2016-12-04 18:25:00,G,3
Duran Duran,Girls On Film,2018-12-01 08:52:00,G,Girls,4,1981,2016-12-04 18:28:00,G,3
U2,Gloria,2018-12-01 09:48:00,G,Gloria,5,1981,2016-12-04 20:21:00,G,5
Bruce Springsteen,Glory Days,2018-12-01 09:53:00,G,Glory,4,1984,2016-12-04 20:26:00,G,4
Bangles,Going Down To Liverpool,2018-12-01 10:18:00,G,Going,3,1984,2016-12-04 21:52:00,G,3
The Jam,Going Underground,2018-12-01 10:31:00,G,Going,3,1980,2016-12-04 22:25:00,G,2
The Stranglers,Golden Brown,2018-12-01 10:43:00,G,Golden,3,1988,2016-12-04 22:52:00,G,4
Violent Femmes,Gone Daddy Gone,2018-12-01 10:46:00,G,Gone,4,1983,2016-12-04 23:18:00,G,3
Pete Townshend,Gonna Get Ya,2018-12-01 10:50:00,G,Gonna,7,1980,2016-12-04 23:39:00,G,6
The Cramps,Goo Goo Muck,2018-12-01 10:57:00,G,Goo,3,1980,2016-12-04 23:49:00,G,4
Camper Van Beethoven,Good Guys And Bad Guys,2018-12-01 11:04:00,G,Good,3,1987,2016-12-05 00:09:00,G,4
Fine Young Cannibals,Good Thing,2018-12-01 11:07:00,G,Good,6,1988,2016-12-05 00:44:00,G,4
Steve Earle,Goodbye's All We've Got Left,2018-12-01 11:28:00,G,Goodbye's,3,1986,2016-12-05 01:12:00,G,4
Adam Ant,Goody Two Shoes,2018-12-01 11:37:00,G,Goody,4,1982,2016-12-05 01:23:00,G,3
Paul Simon,Graceland,2018-12-01 11:55:00,G,Graceland,5,1986,2016-12-05 02:14:00,G,5
Billy Bragg,Greetings To The New Brunette,2018-12-01 12:34:00,G,Greetings,5,1986,2016-12-05 03:08:00,G,4
Steve Earle,Guitar Town,2018-12-01 12:47:00,G,Guitar,2,1986,2016-12-05 03:29:00,G,4
Dwight Yoakam,"Guitars, Cadillacs",2018-12-01 12:54:00,G,Guitars,3,1986,2016-12-05 03:33:00,G,3
Fleetwood Mac,Gypsy,2018-12-01 13:05:00,G,Gypsy,5,1982,2016-12-05 03:38:00,G,4
Nick Lowe,Half A Boy And Half A Man,2018-12-01 13:19:00,H,Half,5,1984,2016-12-05 04:05:00,H,3
Leonard Cohen,Hallelujah,2018-12-01 13:30:00,H,Hallelujah,6,1984,2016-12-05 04:23:00,H,4
