Artist,Title,Air Time,Letter,First Word,Duration,Year
Santana,Evil Ways,2020-12-10 18:55:00,E,Evil,5,1983
Paul McCartney & Wings,Jet,2020-12-10 19:00:00,J,Jet,4,1973
Steely Dan,Babylon Sisters,2020-12-10 19:04:00,B,Babylon,8,1980
Supertramp,The Logical Song,2020-12-10 19:12:00,T,The,4,1979
Catherine Wheel,Black Metallic,2020-12-10 19:16:00,B,Black,9,1991
Sly & The Family Stone,I Want To Take You Higher,2020-12-10 19:25:00,I,I,5,1969
Grateful Dead,I Know You Rider,2020-12-10 19:30:00,I,I,6,1972
The White Stripes,My Doorbell,2020-12-10 19:36:00,M,My,5,2005
Vampire Weekend,A-Punk,2020-12-10 19:41:00,A,A-Punk,2,2007
The Count Five,Psychotic Reaction,2020-12-10 19:43:00,P,Psychotic,3,1984
The Pretenders,Back On The Chain Gang,2020-12-10 19:46:00,B,Back,5,1982
Elton John,Honky Cat,2020-12-10 19:51:00,H,Honky,5,1972
The National,Slow Show,2020-12-10 19:56:00,S,Slow,4,2007
Sly & The Family Stone,If You Want Me To Stay,2020-12-10 20:00:00,I,If,3,1973
Pearl Jam,Evenflow,2020-12-10 20:03:00,E,Evenflow,7,2003
Muddy Waters,I Just Want To Make Love To You (1954),2020-12-10 20:10:00,I,I,3,0
Johnny Cash,A Boy Named Sue (live),2020-12-10 20:13:00,A,A,3,1969
Bruce Cockburn,Wondering Where The Lions Are,2020-12-10 20:16:00,W,Wondering,4,1979
Kendrick Lamar,DNA,2020-12-10 20:20:00,D,DNA,3,2017
The Beatles,Got To Get You Into My Life,2020-12-10 20:23:00,G,Got,5,1963
Herbie Hancock,Watermelon Man,2020-12-10 20:28:00,W,Watermelon,6,1975
Yo La Tengo,From A Motel 6,2020-12-10 20:34:00,F,From,6,1993
Live,Lightning Crashes,2020-12-10 20:40:00,L,Lightning,5,1994
David Bowie,The Man Who Sold The World,2020-12-10 20:45:00,T,The,5,1970
Leonard Cohen,The Future,2020-12-10 20:50:00,T,The,7,1992
Foo Fighters,My Hero,2020-12-10 20:57:00,M,My,4,1996
The Velvet Underground,Venus In Furs,2020-12-10 21:01:00,V,Venus,5,1967
Bruce Cockburn,Lovers In A Dangerous Time,2020-12-10 21:06:00,L,Lovers,7,1984
Smashing Pumpkins,Thirty Three,2020-12-10 21:13:00,T,Thirty,4,1995
M83,Midnight City,2020-12-10 21:17:00,M,Midnight,4,2010
Mark Knopfler,What It Is,2020-12-10 21:21:00,W,What,6,2000
U2,The Unforgettable Fire,2020-12-10 21:27:00,T,The,5,1984
Pink Floyd,See Emily Play,2020-12-10 21:32:00,S,See,3,1967
Eminem,Stan (feat. Dido),2020-12-10 21:35:00,S,Stan,7,0
Leonard Cohen,Joan of Arc,2020-12-10 21:42:00,J,Joan,7,1971
Bruce Springsteen,Adam Raised A Cain,2020-12-10 21:49:00,A,Adam,7,1978
Matisyahu,One Day,2020-12-10 21:56:00,O,One,4,2009
Billy Joel,The Stranger,2020-12-10 22:00:00,T,The,5,1977
Judy Collins,In My Life,2020-12-10 22:05:00,I,In,3,1966
Modest Mouse,Baby Blue Sedan,2020-12-10 22:08:00,B,Baby,5,1997
George Harrison,Wah-Wah,2020-12-10 22:13:00,W,Wah-Wah,6,1970
Charles Bradley,Changes,2020-12-10 22:19:00,C,Changes,5,2013
Stone Temple Pilots,Plush,2020-12-10 22:24:00,P,Plush,5,1992
Fats Domino,Walkin' To New Orleans,2020-12-10 22:29:00,W,Walkin',4,1960
The Beatles,Nowhere Man,2020-12-10 22:33:00,N,Nowhere,2,1965
The Beach Boys,"Help Me, Rhonda",2020-12-10 22:35:00,H,Help,4,1985
Trey Anastasio,Drift While You're Sleeping,2020-12-10 22:39:00,D,Drift,12,2019
MC5,Kick Out The Jams,2020-12-10 22:51:00,K,Kick,3,1994
Laura Nyro,I Am The Blues,2020-12-10 22:54:00,I,I,6,1976
Manfred Mann,Blinded By The Light,2020-12-10 23:00:00,B,Blinded,7,1976
Billie Holiday,Stormy Weather,2020-12-10 23:07:00,S,Stormy,5,1953
Childish Gambino,Redbone,2020-12-10 23:12:00,R,Redbone,4,2016
Patty Griffin,Rain,2020-12-10 23:16:00,R,Rain,4,1996
Smokey Robinson & The Miracles,You've Really Got A Hold On Me,2020-12-10 23:20:00,Y,You've,5,1988
Gladys Knight & the Pips,Neither One Of Us (Wants To Be The First To Say Goodbye),2020-12-10 23:25:00,N,Neither,5,1973
Ben Folds,Landed,2020-12-10 23:30:00,L,Landed,4,2005
Tom Petty,Into The Great Wide Open,2020-12-10 23:34:00,I,Into,4,1976
The Moody Blues,You And Me,2020-12-10 23:38:00,Y,You,5,1972
Bob Marley & The Wailers,Natural Mystic,2020-12-10 23:43:00,N,Natural,3,1991
Creedence Clearwater Revival,Susie Q,2020-12-10 23:46:00,S,Susie,10,1968
Donnie Iris,Ah! Leah!,2020-12-10 23:56:00,A,Ah,4,1980
Joni Mitchell,Conversation,2020-12-11 00:00:00,C,Conversation,5,1970
Fleet Foxes,White Winter Hymnal,2020-12-11 00:05:00,W,White,2,2008
The Byrds,Wasn't Born To Follow,2020-12-11 00:07:00,W,Wasn't,2,1968
The Rolling Stones,Sweet Virginia,2020-12-11 00:09:00,S,Sweet,5,1972
Crosby Stills Nash & Young,Almost Cut My Hair,2020-12-11 00:14:00,A,Almost,5,1970
The Band,Up On Cripple Creek,2020-12-11 00:19:00,U,Up,4,1969
Traveling Wilburys,Handle With Care,2020-12-11 00:23:00,H,Handle,4,1988
Sonic Youth,Teenage Riot,2020-12-11 00:27:00,T,Teenage,7,1988
Fiona Apple,Criminal,2020-12-11 00:34:00,C,Criminal,6,1996
The War On Drugs,Up All Night,2020-12-11 00:40:00,U,Up,7,2017
Small Faces,Itchycoo Park,2020-12-11 00:47:00,I,Itchycoo,2,1986
The Waitresses,Christmas Wrapping,2020-12-11 00:49:00,C,Christmas,6,1981
Oasis,Don't Look Back In Anger,2020-12-11 00:55:00,D,Don't,5,1996
The Temptations,Just My Imagination (Running Away With Me),2020-12-11 01:00:00,J,Just,4,1980
Hall & Oates,Private Eyes,2020-12-11 01:04:00,P,Private,3,1981
Depeche Mode,Never Let Me Down Again,2020-12-11 01:07:00,N,Never,5,1987
Screamin' Jay Hawkins,I Put A Spell On You,2020-12-11 01:12:00,I,I,3,1956
Neil Young,The Needle And The Damage Done,2020-12-11 01:15:00,T,The,2,1972
Men At Work,Overkill,2020-12-11 01:17:00,O,Overkill,3,1983
Annie Lennox,Why,2020-12-11 01:20:00,W,Why,6,1992
Ant̫nio Carlos Jobim,The Girl From Ipanema,2020-12-11 01:26:00,T,The,2,0
Duran Duran,Ordinary World,2020-12-11 01:28:00,O,Ordinary,5,1993
The Beach Boys,Heroes and Villains,2020-12-11 01:33:00,H,Heroes,3,1967
Elvis Costello & The Attractions,Oliver's Army,2020-12-11 01:36:00,O,Oliver's,4,1979
Guy Clark,L.A. Freeway,2020-12-11 01:40:00,L,L,5,1975
LCD Soundsystem,Home,2020-12-11 01:45:00,H,Home,7,2010
Maggie Rogers,Light On,2020-12-11 01:52:00,L,Light,5,2018
Tom Petty & The Heartbreakers,Don't Do Me Like That,2020-12-11 01:57:00,D,Don't,3,1979
Donna Summer,State Of Independence,2020-12-11 02:00:00,S,State,6,1982
Bruce Springsteen,Born In The USA,2020-12-11 02:06:00,B,Born,5,1984
Tom Rush,Urge For Going,2020-12-11 02:11:00,U,Urge,6,1968
The Killers,Mr. Brightside,2020-12-11 02:17:00,M,Mr,4,2003
Eminem,Lose Yourself,2020-12-11 02:21:00,L,Lose,6,2002
The Clash,Safe European Home,2020-12-11 02:27:00,S,Safe,3,1978
America,Sister Golden Hair,2020-12-11 02:30:00,S,Sister,4,1975
R. E. M.,These Days,2020-12-11 02:34:00,T,These,3,1986
John Hiatt,Riding With The King,2020-12-11 02:37:00,R,Riding,5,1983
Gregory Alan Isakov,The Stable Song,2020-12-11 02:42:00,T,The,6,2007
The Jam,A Town Called Malice,2020-12-11 02:48:00,A,A,3,1982
James Gang,Funk #49,2020-12-11 02:51:00,F,Funk,4,1969
Neil Young,Tonight's The Night,2020-12-11 02:55:00,T,Tonight's,5,1975
Sergio Mendes & Brasil '66,Mais Que Nada,2020-12-11 03:00:00,M,Mais,3,1967
Toots & The Maytals,54-46 (Thats My Number),2020-12-11 03:03:00,T,54-46,3,1984
T Rex,Jeepster,2020-12-11 03:06:00,J,Jeepster,4,1971
Gang Of Four,Damaged Goods,2020-12-11 03:10:00,D,Damaged,4,1978
Bob Marley & The Wailers,Lively Up Yourself,2020-12-11 03:14:00,L,Lively,5,1990
Stevie Ray Vaughan,Change It,2020-12-11 03:19:00,C,Change,4,1985
Talk Talk,Life's What You Make It,2020-12-11 03:23:00,L,Life's,4,1986
Beth Orton,Stolen Car,2020-12-11 03:27:00,S,Stolen,4,1998
Willie Nelson,Funny How Time Slips Away,2020-12-11 03:31:00,F,Funny,3,1962
Special AKA,Free Nelson Mandela,2020-12-11 03:34:00,F,Free,5,1984
Frank Zappa,Dancin' Fool,2020-12-11 03:39:00,D,Dancin',4,1979
Wham!,Freedom,2020-12-11 03:43:00,F,Freedom,5,1984
Dave Matthews Band,Crush,2020-12-11 03:48:00,C,Crush,5,2000
The Kinks,Shangri-La,2020-12-11 03:53:00,S,Shangri-La,6,1969
The Chameleons UK,Swamp Thing,2020-12-11 03:59:00,S,Swamp,6,0
Nico,These Days,2020-12-11 04:05:00,T,These,4,1967
The Rolling Stones,Under My Thumb,2020-12-11 04:09:00,U,Under,4,1966
My Morning Jacket,Wordless Chorus,2020-12-11 04:13:00,W,Wordless,4,2005
Focus,Hocus Pocus,2020-12-11 04:17:00,H,Hocus,8,1971
Leonard Cohen,Bird On A Wire,2020-12-11 04:25:00,B,Bird,4,2005
Van Morrison,Fair Play,2020-12-11 04:29:00,F,Fair,6,1974
The Temptations,I Can't Get Next To You,2020-12-11 04:35:00,I,I,3,1969
The Clash,Rudie Can't Fail,2020-12-11 04:38:00,R,Rudie,5,1979
Wings,Mull of Kintyre,2020-12-11 04:43:00,M,Mull,4,1977
Van Morrison,Real Real Gone,2020-12-11 04:47:00,R,Real,4,1990
The Who,The Kids Are Alright,2020-12-11 04:51:00,T,The,5,1966
Gov't Mule,Soulshine,2020-12-11 04:56:00,S,Soulshine,4,1999
Golden Smog,Until You Came Along,2020-12-11 05:00:00,U,Until,5,1998
Deep Purple,Hush,2020-12-11 05:05:00,H,Hush,5,1977
The Beach Boys,Long Promised Road,2020-12-11 05:10:00,L,Long,4,1970
Steppenwolf,Born To Be Wild,2020-12-11 05:14:00,B,Born,3,1983
Bob Marley & The Wailers,So Much Trouble In The World,2020-12-11 05:17:00,S,So,4,1979
Chicago Transit Authority,Questions 67 & 68,2020-12-11 05:21:00,Q,Questions,5,1969
Toots & The Maytals,Funky Kingston,2020-12-11 05:26:00,F,Funky,5,1980
Bob Seger,Roll Me Away,2020-12-11 05:31:00,R,Roll,5,1982
Heart,Alone,2020-12-11 05:36:00,A,Alone,3,1983
Frank Ocean,Pink + White,2020-12-11 05:39:00,P,Pink,4,2016
Ella Fitzgerald,Mack The Knife,2020-12-11 05:43:00,M,Mack,4,1988
AC/DC,It's A Long Way To The Top (If You Wanna Rock 'n' Roll),2020-12-11 05:47:00,I,It's,5,1975
Leon Russell,Tight Rope,2020-12-11 05:52:00,T,Tight,3,1972
Van Morrison,Wavelength,2020-12-11 05:55:00,W,Wavelength,5,1978
Jeff Beck,Going Down,2020-12-11 06:00:00,G,Going,7,1972
Bruce Springsteen,Sherry Darling,2020-12-11 06:07:00,S,Sherry,6,1980
Little Richard,Good Golly Miss Molly,2020-12-11 06:13:00,G,Good,2,1958
Frank Sinatra,It Was A Very Good Year,2020-12-11 06:15:00,I,It,10,1965
Low Cut Connie,Boozophilia,2020-12-11 06:25:00,B,Boozophilia,4,2012
Bruce Springsteen,It's Hard To Be A Saint In The City,2020-12-11 06:29:00,I,It's,3,1973
Grandmaster Flash & The Furious 5,The Message,2020-12-11 06:32:00,T,The,9,0
Aretha Franklin,Day Dreaming,2020-12-11 06:41:00,D,Day,4,1968
The Who,Sea and Sand,2020-12-11 06:45:00,S,Sea,8,1973
Bruce Springsteen,Lost In The Flood,2020-12-11 06:53:00,L,Lost,5,1973
Darlene Love,Christmas (Baby Please Come Home),2020-12-11 06:58:00,C,Christmas,4,1963
The Stooges,I Wanna Be Your Dog,2020-12-11 07:02:00,I,I,3,1996
Rage Against The Machine,Bulls on Parade,2020-12-11 07:05:00,B,Bulls,6,1996
B-52's,Dance This Mess Around,2020-12-11 07:11:00,D,Dance,4,1979
Adele,Skyfall,2020-12-11 07:15:00,S,Skyfall,8,2012
Jefferson Airplane,Volunteers,2020-12-11 07:23:00,V,Volunteers,2,1994
General Public,Tenderness,2020-12-11 07:25:00,T,Tenderness,4,1984
The Who,Slip Kid,2020-12-11 07:29:00,S,Slip,4,1975
Jimi Hendrix,Crosstown Traffic,2020-12-11 07:33:00,C,Crosstown,3,1968
The Beatles,It's Only Love,2020-12-11 07:36:00,I,It's,4,1965
Blood Sweat & Tears,You've Made Me So Very Happy,2020-12-11 07:40:00,Y,You've,4,1973
Hozier,Nina Cried Power,2020-12-11 07:44:00,N,Nina,4,2018
Elvis Presley,Blue Suede Shoes,2020-12-11 07:48:00,B,Blue,2,1970
The Beatles,Hello Goodbye,2020-12-11 07:50:00,H,Hello,7,1967
Natalie Prass,Sisters,2020-12-11 07:57:00,S,Sisters,5,2018
Alabama Shakes,Don't Wanna Fight,2020-12-11 08:02:00,D,Don't,3,2015
The Carpenters,(They Long To Be) Close To You,2020-12-11 08:05:00,T,(,7,0
The Beatles,Getting Better,2020-12-11 08:12:00,G,Getting,3,1967
Pearl Jam,Just Breathe,2020-12-11 08:15:00,J,Just,6,2009
Horace Silver,Song For My Father,2020-12-11 08:21:00,S,Song,8,1989
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,2020-12-11 08:29:00,W,Whole,3,1972
Modest Mouse,Dashboard,2020-12-11 08:32:00,D,Dashboard,4,2007
Yaz,Don't Go,2020-12-11 08:36:00,D,Don't,5,2004
Wilco,One Sunday Morning (Song For Jane Smiley's Boyfriend),2020-12-11 08:41:00,O,One,14,2011
Shawn Colvin,Shotgun Down The Avalanche,2020-12-11 08:55:00,S,Shotgun,6,1989
Lloyd Cole,Are You Ready To Be Heartbroken,2020-12-11 09:01:00,A,Are,3,1984
Fleetwood Mac,Hypnotized,2020-12-11 09:04:00,H,Hypnotized,5,1973
Otis Redding,Hard to Handle,2020-12-11 09:09:00,H,Hard,3,1968
John Lee Hooker,Boom Boom,2020-12-11 09:12:00,B,Boom,5,1964
Nina Simone,My Baby Just Cares For Me,2020-12-11 09:17:00,M,My,3,1992
Tame Impala,Let it Happen,2020-12-11 09:20:00,L,Let,6,2015
Genesis,Your Own Special Way,2020-12-11 09:26:00,Y,Your,6,1976
Paul Simon,Born At The Right Time,2020-12-11 09:32:00,B,Born,4,1973
John Prine,Please Don't Bury Me,2020-12-11 09:36:00,P,Please,4,1973
Josh Ritter,Thin Blue Flame,2020-12-11 09:40:00,T,Thin,10,2006
Eric Burdon & War,Spill The Wine,2020-12-11 09:50:00,S,Spill,4,1970
Traffic,Freedom Rider,2020-12-11 09:54:00,F,Freedom,6,1970
Deep Purple,Lazy,2020-12-11 10:00:00,L,Lazy,8,1988
Radiohead,Just,2020-12-11 10:08:00,J,Just,5,1995
Darlingside,White Horses,2020-12-11 10:13:00,W,White,5,2015
Dan Fogelberg,Nether Lands,2020-12-11 10:18:00,N,Nether,5,1977
Neil Diamond,America,2020-12-11 10:23:00,A,America,6,1978
Charlie Rich,Feel Like Going Home,2020-12-11 10:29:00,F,Feel,5,1974
Radiohead,Black Star,2020-12-11 10:34:00,B,Black,4,1995
War,Slippin' Into Darkness,2020-12-11 10:38:00,S,Slippin',9,1971
Emerson Lake & Palmer,Still... You Turn Me On,2020-12-11 10:47:00,S,Still,3,1973
Neil Young,Harvest,2020-12-11 10:50:00,H,Harvest,3,1972
Fleet Foxes,Blue Ridge Mountains,2020-12-11 10:53:00,B,Blue,6,2008
The Rolling Stones,Tumbling Dice,2020-12-11 10:59:00,T,Tumbling,4,1972
Melissa Etheridge,Yes I Am,2020-12-11 11:03:00,Y,Yes,4,1993
The Rolling Stones,Happy,2020-12-11 11:07:00,H,Happy,4,1973
The Rolling Stones,Bitch,2020-12-11 11:11:00,B,Bitch,3,1971
U2,Mysterious Ways,2020-12-11 11:14:00,M,Mysterious,6,1991
Electric Light Orchestra,Fire On High,2020-12-11 11:20:00,F,Fire,5,1975
Little Feat,Easy To Slip,2020-12-11 11:25:00,E,Easy,5,1972
Phish,Bouncing Around The Room,2020-12-11 11:30:00,B,Bouncing,4,2003
Luciano Pavarotti,"Turandot, Act Iii, Nessun Dorma!",2020-12-11 11:34:00,T,Turandot,3,1986
