Artist,Title,Air Time
Mink DeVille,She's So Yough,2017-12-09 01:25:00
The Boomtown Rats,She's So Modern,2017-12-09 01:22:00
U.K. Subs,She's Not There,2017-12-09 01:21:00
Santana,She's Not There,2017-12-09 01:16:00
The 8th Day,She's Not Just Another Woman,2017-12-09 01:13:00
Lou Reed,She's My Best Friend,2017-12-09 01:07:00
Joy Division,She's Lost Control,2017-12-09 01:03:00
Billy Joel,She's Got A Way,2017-12-09 01:00:00
Tavares,She's Gone,2017-12-09 00:56:00
Hall & Oates,She's Gone,2017-12-09 00:51:00
Hound Dog Taylor,She's Gone,2017-12-09 00:47:00
Pretty Things,She's A Lover,2017-12-09 00:43:00
ZZ Top,She's A Heartbreaker,2017-12-09 00:40:00
Roxy Music,She Sells,2017-12-09 00:37:00
Charlie,She Loves To Be In Love,2017-12-09 00:33:00
ZZ Top,She Loves My Automobile,2017-12-09 00:29:00
Dr. Feelgood,She Does It Right,2017-12-09 00:26:00
The Modern Lovers,She Cracked,2017-12-09 00:23:00
Gram Parsons,She,2017-12-09 00:18:00
The Rolling Stones,Shattered,2017-12-09 00:14:00
David Bromberg,Sharon,2017-12-09 00:07:00
David Bowie,Shapes Of Things,2017-12-09 00:05:00
Shirley & Company,"Shame, Shame, Shame",2017-12-09 00:01:00
