Artist,Title,Air Time
Ry Cooder,Taxes On The Farmer Feeds Us All,2017-12-10 06:52:00
Ry Cooder,Tattler,2017-12-10 06:48:00
Bob Dylan,Tangled Up In Blue,2017-12-10 06:42:00
Led Zeppelin,Tangerine,2017-12-10 06:37:00
Flamin' Groovies,Tallahassee Lassie,2017-12-10 06:35:00
James Brown,Talkin' Loud And Sayin' Nothing,2017-12-10 06:20:00
Joni Mitchell,Talk To Me,2017-12-10 06:15:00
Cheap Trick,Takin' Me Back,2017-12-10 06:10:00
The Doobie Brothers,Takin' It To The Streets,2017-12-10 06:05:00
Bachman-Turner Overdrive,Takin' Care Of Business,2017-12-10 06:00:00
Steve Miller Band,Take The Money & Run,2017-12-10 05:57:00
Supertramp,Take The Long Way Home,2017-12-10 05:51:00
Marshall Tucker Band,Take The Highway,2017-12-10 05:45:00
Wreckless Eric,Take The Cash (K.A.S.H.),2017-12-10 05:42:00
The Sinceros,Take Me To Your Leader,2017-12-10 05:38:00
Talking Heads,Take Me To The River,2017-12-10 05:31:00
Syl Johnson,Take Me To The River,2017-12-10 05:28:00
Al Green,Take Me To The River,2017-12-10 05:25:00
Elton John,Take Me To The Pilot,2017-12-10 05:20:00
The Isley Brothers,Take Me To The Next Phase,2017-12-10 05:16:00
Paul Simon,Take Me To The Mardis Gras,2017-12-10 05:12:00
John Denver,"Take Me Home, Country Roads",2017-12-10 05:09:00
The Eagles,Take It To The Limit,2017-12-10 05:03:00
The Eagles,Take It Easy,2017-12-10 05:00:00
Jackson Browne,Take It Easy,2017-12-10 04:56:00
Amon Duul II,Tables Are Turned,2017-12-10 04:51:00
The Stooges,T.V. Eye,2017-12-10 04:47:00
AC/DC,T.N.T.,2017-12-10 04:43:00
M. F. S. B.,T. S. O. P. (The Sound Of Philadelphia),2017-12-10 04:40:00
The Rolling Stones,Sympathy For The Devil,2017-12-10 04:34:00
Nick Lowe,Switchboard Susan,2017-12-10 04:30:00
Todd Rundgren,Sweeter Memories,2017-12-10 04:25:00
Rufus Featuring Chaka Khan,Sweet Thing,2017-12-10 04:22:00
Electric Light Orchestra,Sweet Talkin' Woman,2017-12-10 04:18:00
Ohio Players,Sweet Sticky Thing,2017-12-10 04:04:00
B. B. King,Sweet Sixteen,2017-12-10 04:00:00
The Melodians,Sweet Sensation,2017-12-10 03:56:00
Carole King,Sweet Seasons,2017-12-10 03:53:00
Henry Gross,Sweet Sassafras,2017-12-10 03:49:00
Sandy Denny,Sweet Rosemary,2017-12-10 03:45:00
Black Sabbath,Sweet Leaf,2017-12-10 03:40:00
Queen,Sweet Lady,2017-12-10 03:36:00
Van Morrison,Sweet Jannie,2017-12-10 03:34:00
The Velvet Underground,Sweet Jane,2017-12-10 03:30:00
David Bromberg Band,Sweet Home Chicago,2017-12-10 03:26:00
David Bromberg Band,Sweet Home Chicago,2017-12-10 03:25:00
Lynyrd Skynyrd,Sweet Home Alabama,2017-12-10 03:20:00
Creedence Clearwater Revival,Sweet Hitch-hiker,2017-12-10 03:18:00
Candi Staton,Sweet Feeling,2017-12-10 03:15:00
Aerosmith,Sweet Emotion,2017-12-10 03:10:00
Yes,Sweet Dreams,2017-12-10 03:06:00
Waylon Jennings,Sweet Dream Woman,2017-12-10 03:04:00
The Stampeders,Sweet City Woman,2017-12-10 03:00:00
James Taylor,Sweet Baby James,2017-12-10 02:57:00
The Rolling Stones,Sway,2017-12-10 02:52:00
Jim Stafford,Swamp Witch,2017-12-10 02:48:00
Lynyrd Skynyrd,Swamp Music,2017-12-10 02:45:00
Goblin,SUSPIRIA,2017-12-10 02:39:00
Stiff Little Fingers,Suspect Device,2017-12-10 02:36:00
Cheap Trick,Surrender,2017-12-10 02:32:00
The Beach Boys,Surf's Up,2017-12-10 02:27:00
Ronnie Wood,Sure The One You Need,2017-12-10 02:24:00
Genesis,Supper's Ready,2017-12-10 02:00:00
Stevie Wonder,Superwoman (Where Were You When I Needed You),2017-12-10 01:52:00
Stevie Wonder,Superstition,2017-12-10 01:44:00
Choir & Murray Head,Superstar,2017-12-10 01:40:00
The Carpenters,Superstar,2017-12-10 01:36:00
Ben E. King,Supernatural Thing,2017-12-10 01:30:00
Curtis Mayfield,Superfly,2017-12-10 01:27:00
Deep Purple,Super Trouper,2017-12-10 01:24:00
Funkadelic,Super Stupid,2017-12-10 01:20:00
Sugar Billy,Super Duper Love Pts 1 & 2,2017-12-10 01:16:00
James Brown,Super Bad,2017-12-10 01:05:00
John Denver,Sunshine On My Shoulders,2017-12-10 01:00:00
The Isley Brothers,Sunshine (Go Away Today),2017-12-10 00:56:00
James Taylor,Sunny Skies,2017-12-10 00:53:00
Gordon Lightfoot,Sundown,2017-12-10 00:50:00
John Martyn,Sunday's Child,2017-12-10 00:46:00
Joe Jackson,Sunday Papers,2017-12-10 00:42:00
Kris Kristofferson,Sunday Mornin' Comin' Down,2017-12-10 00:38:00
Blondie,Sunday Girl (French Version),2017-12-10 00:35:00
Blondie,Sunday Girl,2017-12-10 00:32:00
Bob Seger & The Silver Bullet Band,Sunburst,2017-12-10 00:26:00
Ramsey Lewis,Sun Goddess,2017-12-10 00:18:00
Cat Stevens,Sun C79,2017-12-10 00:11:00
The Who,Summertime Blues,2017-12-10 00:07:00
Billy Joel,"Summer, Highland Falls",2017-12-10 00:04:00
Gordon Lightfoot,Summer Side Of Life,2017-12-10 00:00:00
