Artist,Title,Album,Air Time
The War On Drugs,Red Eyes,Lost In The Dream,2023-12-11 05:55:14
Cat Power,New York,Jukebox,2023-12-11 05:53:20
Slow Pulp,Doubt,Yard,2023-12-11 05:50:48
Bodeans,She's A Runaway,Love & Hope & Sex & Dreams,2023-12-11 05:47:11
Sleater-Kinney,Say It Like You Mean It,Little Rope,2023-12-11 05:43:36
U2,Atomic City,(single),2023-12-11 05:39:39
Jackson Browne,Somebody's Baby,"<Fast Times At Ridgemont High"" - soundtrack",2023-12-11 05:35:26
Big Bad Voodoo Daddy,Mr. Heatmiser,Everything You Want For Christmas,2023-12-11 05:31:08
The Rolling Stones,Get Close,Hackney Diamonds,2023-12-11 05:24:52
Hop Along,Waitress,Painted Shut,2023-12-11 05:21:29
Israel Nash,Down in the Country,Topaz,2023-12-11 05:17:59
Mannequin Pussy,I Don't Know You,I Got Heaven,2023-12-11 05:14:41
Middle Kids,Highlands,Faith Crisis Pt. 1,2023-12-11 05:10:54
The National,Eucalyptus,First Two Pages of Frankenstein,2023-12-11 05:06:42
Julian Schoming,Good Morning,Tales of the Auburn Canyon,2023-12-11 05:02:34
The Teeth,Ball Of The Dead Rat,You're My Lover Now,2023-12-11 04:57:42
Lizzie No,Lagunita,Halfsies,2023-12-11 04:53:53
Coldplay,God Put A Smile On Your Face,A Rush of Blood to the Head,2023-12-11 04:49:06
Amos Lee,Greenville,Honeysuckle Switches,2023-12-11 04:45:55
Big Thief,Vampire Empire,Vampire Empire / Born for Loving You (single),2023-12-11 04:42:52
Sting,If I Ever Lose My Faith In You,Ten Summoner's Tales,2023-12-11 04:38:37
Pete Townshend,Crashing By Design,White City,2023-12-11 04:35:22
IDLES,Dancer (ft. LCD Soundsystem),TANGK,2023-12-11 04:32:16
Blur,Barbaric,The Ballad of Darren,2023-12-11 04:28:12
Joseph,White Flag,"I'm Alone, No You're Not",2023-12-11 04:24:55
The Dip,Paddle To The Stars,Sticking With It,2023-12-11 04:22:28
Future Islands,The Tower,People Who Aren't There Anymore,2023-12-11 04:18:50
The Temptations,Psychedelic Shack,The Temptations Anthology,2023-12-11 04:15:30
"Slaughter Beach, Dog",Strange Weather,Crying Laughing Waving Smiling,2023-12-11 04:12:05
INXS,Suicide Blonde,X,2023-12-11 04:08:21
Noah Kahan,Northern Attitude (ft. Hozier),Stick Season,2023-12-11 04:04:03
John Eddie,Pretty Little Rebel,John Eddie,2023-12-11 04:00:35
Art d'Ecco,Head Rush,In Standard Definition,2023-12-11 03:57:16
The Smiths,There Is A Light That Never Goes Out,The Queen Is Dead,2023-12-11 03:53:27
TV On The Radio,Golden Age,Dear Science,2023-12-11 03:49:18
Margaret Glaspy,Get Back,Echo the Diamond,2023-12-11 03:45:36
Laufey,From The Start,Bewitched,2023-12-11 03:42:51
The Record Company,Talk To Me,The 4th Album,2023-12-11 03:38:55
Paul Simon,Train In The Distance,Hearts And Bones,2023-12-11 03:33:45
Devon Gilfillian,Love You Anyway,Love You Anyway,2023-12-11 03:30:00
Mitski,My Love Mine All Mine,The Land is Inhospitable and So Are We,2023-12-11 03:27:52
Fontaines D.C.,A Hero's Death,A Hero's Death,2023-12-11 03:24:18
The Lumineers,Where We Are,Brightside,2023-12-11 03:21:34
Squirrel Flower,Alley Light,Tomorrow's Fire,2023-12-11 03:18:28
Entrain,Dancin' In The Light,Can U Get It,2023-12-11 03:14:16
The Killers,Your Side of Town,Rebel Diamonds,2023-12-11 03:11:13
Cream,I Feel Free,Fresh Cream,2023-12-11 03:08:25
Ducks Ltd.,The Main Thing,Harm's Way,2023-12-11 03:05:29
Madeleine Peyroux,Dreamland,Dreamland,2023-12-11 03:01:23
Neal Francis,Strawberry Letter 23,Sentimental Garbage EP,2023-12-11 02:56:56
The Heavy Heavy,Go Down River,Life and Life Only,2023-12-11 02:53:12
The Smile,Wall Of Eyes,Wall Of Eyes,2023-12-11 02:48:14
George Ezra,Budapest,Wanted on Voyage,2023-12-11 02:44:54
Dave Matthews Band,Monsters,Walk Around The Moon,2023-12-11 02:41:28
Material Issue,Valerie Loves Me,International Pop Overthrow,2023-12-11 02:38:29
Gladie,Chaos Reigns,Chaos Reigns,2023-12-11 02:34:59
Bakar,Alive!,Halo,2023-12-11 02:31:08
The Jayhawks,This Forgotten Town,XOXO,2023-12-11 02:27:28
Sharon Van Etten,Mistakes,We've Been Going About This All Wrong,2023-12-11 02:23:36
MGMT,Mother Nature,Loss of Life,2023-12-11 02:19:55
Toots & The Maytals,Pressure Drop,Funky Kingston,2023-12-11 02:16:19
boygenius,Cool About It,The Record,2023-12-11 02:13:24
Santana,Everybody's Everything,Santana (3rd),2023-12-11 02:10:01
Black Pumas,More Than A Love Song,Chronicles Of A Diamond,2023-12-11 02:05:20
Gin Blossoms,Hey Jealousy,New Miserable Experience,2023-12-11 02:01:06
Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You,Free At Noon May 16 2008,2023-12-11 01:57:17
Arlo Parks,Blades,My Soft Machine,2023-12-11 01:54:08
Brigitte Calls Me Baby,Impressively Average,This House is Made of Corners,2023-12-11 01:46:39
Superorganism,Everybody Wants To Be Famous,Superorganism,2023-12-11 01:43:36
Genesis Owusu,Tied Up!,STRUGGLER,2023-12-11 01:40:27
The Kinks,Sunny Afternoon,Face To Face,2023-12-11 01:36:55
Queen of Jeans,Karaoke,Karaoke,2023-12-11 01:33:17
Deeper,Build A Bridge,Careful!,2023-12-11 01:29:53
Ziggy Marley,Tumblin' Down,Conscious Party,2023-12-11 01:25:54
Wet Leg,Angelica,Wet Leg,2023-12-11 01:22:28
The Beatles,Now and Then,Now and Then (single),2023-12-11 01:18:17
Buzzcocks,Everybody's Happy Nowadays,Singles Going Steady,2023-12-11 01:15:12
Yard Act,Dream Job,Where's My Utopia?,2023-12-11 01:12:33
Jimi Hendrix,Up From The Skies,Axis: Bold As Love,2023-12-11 01:09:40
Sufjan Stevens,Will Anybody Ever Love Me,Javelin,2023-12-11 01:05:37
Phoenix,Entertainment,Bankrupt!,2023-12-11 01:01:12
V. Shayne Frederick,Return To Paradise,Return To Paradise,2023-12-11 00:55:51
Sierra Ferrell,Fox Hunt,single,2023-12-11 00:52:38
Tame Impala,It Might Be Time,The Slow Rush,2023-12-11 00:48:10
Stereo League,Something Changed,Something Changed (single),2023-12-11 00:44:23
Say She She,Astral Plane,Silver,2023-12-11 00:39:52
T Rex,Metal Guru,The Slider,2023-12-11 00:37:25
Hurray for the Riff Raff,Alibi,The Past is Still Alive,2023-12-11 00:34:44
Brittany Howard,What Now,What Now,2023-12-11 00:30:47
Cosmic Guilt,Queen of the Dream,Queen of the Dream (single),2023-12-11 00:26:57
New Order,Be a Rebel,Be a Rebel (single),2023-12-11 00:22:14
Low Cut Connie,Don't Get Fresh With Me,Art Dealers,2023-12-11 00:18:32
Kate & Anna McGarrigle,Heart Like A Wheel,Kate & Anna McGarrigle,2023-12-11 00:15:36
Wilco,Evicted,Cousin,2023-12-11 00:12:16
The Replacements,The Ledge,Pleased To Meet Me,2023-12-11 00:08:21
Laufey,Promise,Bewitched,2023-12-11 00:04:36
Grateful Dead,Scarlet Begonias,From The Mars Hotel,2023-12-11 00:00:24
